beijing_city_18015	北京易旅宾馆
shanghai_city_14744	锦江之星上海金山城市沙滩店
beijing_city_14347	北京潘家园家庭旅馆
beijing_city_14309	北京热公馆国际商务会馆
beijing_city_14173	北京爱艺居东坝店-东坝家园
shanghai_city_9885	上海苗家山寨家庭旅馆
beijing_city_8515	北京兵团大厦
suzhou_jiangsu_8375	金太阳度假村
shanghai_city_7208	上海全季酒店淮海路店
chongqing_city_7171	彭水县紫藤大酒店
london_england_6865	Albert Serviced Apartments
london_england_6864	Seven Apart
london_england_6854	The Pride of Paddington
london_england_6848	Rosebery Avenue Rooms to Let
london_england_6846	Old Street Apartments
london_england_6845	Journeys Greenwich West Hostel
shanghai_city_6841	第二医科大学招待所
london_england_6833	Bayswater Superior Apartments
london_england_6832	Executive Zone 2 London Apartment
london_england_6830	WHITEHALL
beijing_city_6808	北京云坊国际酒店
suzhou_jiangsu_5707	苏州好家短租求职公寓
suzhou_jiangsu_4768	苏州东风宾馆
suzhou_jiangsu_3927	苏州鸿达旅馆
suzhou_jiangsu_3894	苏州宏基宾馆
chongqing_city_3370	包鸾供销合作社包鸾招待所
beijing_city_3113	商务部培训中心
chongqing_city_2961	希尔顿南山温泉度假酒店（未开业）
hongkong_city_2814	香港富豪荟酒店(无效)
london_England_2766	The Milestone Hotel
chongqing_city_2751	重庆星际酒店
cavriglia_ita_2688	Maison Savoia
paris_city_2647	Delambre Montparnasse
paris_city_2644	Art Hotel Batignolles
taizhou_zhejiang_2567	如意新宾馆
beijing_city_2459	北京720家庭旅馆
fuzhou_fujian_2357	福州西凤宾馆
yulin_guangxi_2343	玉林温泉宾馆
taizhou_zhejiang_2305	新荣记大酒店(工人路店)
taizhou_zhejiang_2292	台州市椒江振兴旅馆
huizhou_guangdong_2267	惠州七星宾馆
shanghai_city_2255	上海港运大厦
yichun_jiangxi_2196	宜春银泰宾馆
london_england_2138	Belmont & Astoria Hotel
yichun_jiangxi_2127	宜春阳光温泉客栈
yulin_shanxi_02_2126	榆林政府宾馆
london_england_2122	Radisson Edwardian Hampshire hotel（爱德华汉普什尔郡酒店）
koh_phuket_tha_2089	Baumancasa Beach Resort（鲍曼卡萨海滩度假村）
koh_phuket_tha_2088	麦克斯宾馆
koh_phuket_tha_2086	Maelarn Hotel（麦浪酒店）
yichun_jiangxi_2078	宜春瑞雪宾馆
yichun_jiangxi_2064	宜春奥利康宾馆
davie_fl_1882	Residence Inn Fort Lauderdale Weston
budapest_city_1865	BENCZUR3星级
glendale_ca_1720	Embassy Suites Los Angeles - Glendale
new_york_city_1531	Capri Whitestone Hotel(无效)
the_rocks_nsw_1430	The Australian Heritage Hotel‎
menlo_park_ca_1323	Red Cottage Inn
paris_city_1262	Saint James & Albany Hotel - Spa
singapore_city_1200	Oxley
newcastle_united_kingdom_1175	Stadshotel de Paris
newcastle_united_kingdom_1174	Het Wapen van Delden Hotel
new_delhi_1007	Centra Inn New Delhi
lakeside_ca_954	Hampton Inn Suites SacramentoElk Grove Laguna I5
lakeside_ca_953	Holiday Inn Express Hotel & Suites ELK GROVE EAST
san_diego_941	华美达有限圣迭戈机场酒店
paris_city_877	Hotel Rive Gauche
paris_city_857	Hotel Saint Christophe
paris_city_852	Hotel Beaumarchais
paris_city_849	Hotel de l'Avenir
