shanghai_city_7208	上海全季酒店淮海路店
shanghai_city_14744	锦江之星上海金山城市沙滩店
jinan_2794	章丘市大众旅馆
carmel_ca_5	Carmel River Inn
boston_834	Courtyard by Marriott Woburn
krabi_218	The L Resort Krabi
miami_1693	Fisher Island Hotel And Resort
kansas_city_147	Super 8 Kearney
sendai_49	仙台蒙特蕾饭店
chengdu_3016	成都吉祥酒店式公寓
dover_de_13	Residence Inn Marriott Dover
dover_de_14	Hilton Garden Inn Dover
dover_de_15	Sleep Inn And Suites
dover_de_10	Days Inn Dover Intown
huelva_esp_3	Hotel Tartessos
ibiza_1319	Apartamentos Arcomar Ibiza
goa_125	Wildernest Nature Resort
goa_126	Rahi Coral Beach Resort
goa_128	Laughing Buddha
goa_129	Casa Anjuna
canterbury_18	Chaucer Hotel Canterbury
perugia_518	Residenza La Madonnuccia
seoul_608	Dam Yeung
dubai_2329	San Marco Hotel Dubai
lindos_gre_12	Lindos Blu
lindos_gre_13	Vlicha Beach Studios Lindos
big_island_5	卡屋布雷夫历史区华拉莱四季度假村
sydney_australia_74	Stamford Plaza Sydney Airport
big_island_3	唯客乐海滩万豪温泉度假酒店
zibo_2247	淄博金佰汇宾馆
zibo_2241	淄博张店大成宾馆
huaian_2333	淮安聚鑫圆宾馆
huanggang_2463	黄冈山里人家
lijiang_3445	丽江南门酒店
guangzhou_5058	丽江度假花园酒店
shanghai_city_334	上海宸南大酒店
scottsdale_203	Knights Inn
montrose_1	Motel 6 Montrose
xingan_4578	阿尔山兴安招待所
frazer_pa_2	Hampton Inn Philadelphia-Great Valley
zhenjiang_2002	汉庭快捷镇江京江店
scottsdale_206	Scottsdale Thunderbird Suites
london_england_2138	Belmont & Astoria Hotel
zhenjiang_2176	镇江经折旅馆
sydney_australia_135	The Marque Hotel Sydney
hillsborough_nc_1	Microtel Inn And Suites Hillsborough
menlo_park_ca_1323	Red Cottage Inn
pensacola_fl_37	Suburban Extended Stay Pensacola-NAS
harrisburg_pa_9	Homewood Harrisburg East
sydney_australia_261	Capitol Square Hotel
rock_port_mo_1	Super 8 Rock Port MO
anderson_sc_13	Comfort Suites Anderson
anderson_sc_14	Hilton Garden Inn Anderson
harrisburg_pa_8	Econo Lodge Harrisburg
paris_city_810	Melia Royal Alma Boutique Hotel
anderson_sc_15	Holiday Inn Express Anderson
harrisburg_pa_3	温德姆花园哈里斯堡赫尔希酒店
boston_879	Comfort Inn Randolph
baoshan_2187	腾冲永益大酒店
qinhuangdao_2654	抚宁瑞心快捷酒店南戴河店
paris_city_247	Pavillon Bercy Gare de Lyon
ningbo_4181	慈溪新天地宾馆
aberdeen_united_kingdom_22	Cove Bay Hotel Aberdeen
jinan_3230	济南龙腾大酒店
baoshan_2188	保山映春宾馆
baise_2247	百色鸿雁宾馆
baise_2246	百色海天宾馆
anderson_sc_12	Hampton Inn Anderson
chaohu_2246	巢湖居安快捷宾馆
yancheng_2475	盐沪一家人大酒店
harrisburg_5	Comfort Inn Harrisburg (Pennsylvania)
hangzhou_4917	杭州永兴大酒店
taizhou_zhejiang_2567	如意新宾馆
shijiazhuang_2328	石家庄捷虹大酒店
wuhu_3	希亚德大酒店
jiangmen_2309	台山市斗山爱卫酒店
yichang_2117	宜昌嘉馨大酒店
new_delhi_1007	Centra Inn New Delhi
changchun_2817	长春新感觉旅店
changchun_2813	金福地大酒店
zhangjiajie_26	民航山庄
funchal_71	Residencial Parque
davie_fl_1882	Residence Inn Fort Lauderdale Weston
madonna_di_campiglio_5	Boutique Hotel Chalet Dolce Vita
funchal_40	Suite Hotel Jardins Da Ajuda
funchal_95	Orca Praia
gent_88	Guesthouse PPP
shijiazhuang_2364	石家庄赞皇宾馆
galway_395	College Crest House
galway_68	Skeffington Arms Hotel
chengdu_527	成都心意家酒店公寓
ft_lauderdale_33	Motel 6 Fort Lauderdale
huizhou_guangdong_2267	惠州七星宾馆
chenzhou_2367	郴州惠民宾馆
zanzibar_tza_18	Zanzibar Grand Palace Hotel
lijiang_3553	丽江祥云南现普贤客栈
xiangxi_4245	花垣名都大酒店
zhengzhou_2740	郑州农科院招待所
zhengzhou_2742	郑州纯水岸度假酒店
dali_3711	大理思璐客栈
goa_93	Whispering Palms Beach Resort
goa_98	Sonesta Inn
shipley_uk_2	霍林斯庄园万豪酒店和乡村俱乐部
goa_82	Casa De Goa Boutique Resort
hangzhou_8405	杭州安逸青年旅舍
rotterdam_51	Bastion Deluxe Hotel Rotterdam/Terbregseplein
rotterdam_87	Bastion Hotel Rotterdam Rhoon
cheltenham_209	Badger Towers
guilin_2881	桂林机场宾馆
fuzhou_fujian_2357	福州西凤宾馆
xiamen_5591	厦门集美300间特色旅馆
lakeside_az_8	Rodeway Inn Silver Creek Inn
lakeside_ca_954	Hampton Inn Suites SacramentoElk Grove Laguna I5
hongkong_city_2814	香港富豪荟酒店(无效)
innsbruck_116	Hotel-Pension Sonnenhof
beidaihe_3800	北戴河金海湾度假村
innsbruck_110	Alp Art Hotel
changchun_2880	德惠市迎宾旅馆
leshan_2347	峨边县齐星招待所
rotterdam_88	Euro Hotel Centrum
rotterdam_89	Regardz Airport Hotel Rotterdam
rotterdam_84	Eden Savoy Hotel Rotterdam
ravenna_italy_21	Hotel Cube Ravenna
chengdu_5435	成都双流淼鑫田商务酒店
changchun_2874	长春新世纪宾馆
honghe_2019	红河东方宾馆
handan_2434	邯郸世纪宾馆
fenghuang_2304	凤凰皇朝大酒店
suzhou_jiangsu_140	美乐城宾馆
jinan_3541	济南舒安宾馆
zhanjiang_2089	海富大酒店
taiyuan_2574	山西省煤炭规划设计院招待所
changchun_2868	长春中豪旅馆
changchun_2867	农安泰阁旅馆
xiangshan_2006	象山华翔国际酒店
jinhua_2635	金华万苑宾馆
ningbo_2460	宁海宾馆
huaian_2244	顺心缘酒店
changchun_2864	长春岳鑫旅店
changchun_2869	金悦河畔酒店
nanjing_4580	南京万好万家江宁店
jinhua_2470	金华国茂宾馆
berlin_630	Hotel Haus am Niederfeld
kunshan_2002	周庄云海度假村
jinan_2282	济南珍珠泉宾馆
wenzhou_3005	红叶旅馆(人民西路)
beijing_city_6808	北京云坊国际酒店
suzhou_jiangsu_5707	苏州好家短租求职公寓
beijing_city_14173	北京爱艺居东坝店-东坝家园
zhengzhou_3537	郑州人家高层电梯公寓
wuyishan_2	武夷山庄(武夷山)
jincheng_2075	北留镇供销社神州宾馆
jiamusi_2028	八一宾馆
jinhua_2761	康裕旅社
liaoyuan_4	辽源市龙山区馨馨招待所
huaian_2250	淮安小康旅社
lijiang_4633	丽江榆槐人家温馨驿站
hershey_pa_12	Comfort Inn at the Park
xiamen_4424	厦门海洋三所招待所
yichun_jiangxi_2127	宜春阳光温泉客栈
weihai_2054	威海宜家快捷酒店旗舰店
shanghai_city_6841	第二医科大学招待所
yichun_jiangxi_2196	宜春银泰宾馆
jiuquan_2165	酒泉天河宾馆
qinhuangdao_5349	北戴河利群宾馆
guangzhou_2327	润侨宾馆
chongqing_city_66	华侨酒店
pittsfield_il_4	Crowne Plaza Pittsfield-Berkshires
xianju_2022	仙居东方大酒店
guangyuan_5	广元市凤台宾馆有限责任公司
lone_tree_co_2	Comfort Inn Northwest
jiuquan_2124	酒泉鹏飞宾馆
quanzhou_2987	泉州安蒂仕酒店
robinson_il_1	TownePlace Suites Vincennes
jinggangshan_2	井冈山宁岗宾馆
chongqing_city_2751	重庆星际酒店
cologne_178	Ars vivendi Hotel
yantai_3490	烟台海景自助豪华公寓
kelamayi_2054	克拉玛依疆缘短租公寓
dengfeng_2039	登封禅居国际饭店
taizhou_zhejiang_2305	新荣记大酒店(工人路店)
quanzhou_2032	瓷国明珠酒店
yantai_2691	清泉宾馆烟台大学校医院
yibin_2023	宜宾屏山县任屏宾馆
paris_city_857	Hotel Saint Christophe
phoenix_722	Tempe University Inn
chongqing_city_2961	希尔顿南山温泉度假酒店（未开业）
nanping_2049	南平花园酒店
riccione_ita_11	Hotel De la Ville
riccione_ita_14	Hotel Luna
tampa_5	Tampa Marriott Westshore
shijiazhuang_3506	石家庄悠恋短租公寓
nanyang_2098	南阳车站宾馆
paris_city_852	Hotel Beaumarchais
brooklyn_center_mn_253	Days Inn Minneapolis North
bratislava_city_79	President Hotel
verona_42	Ca' dell'Orto Apartments
ningbo_3334	宁波银峰宾馆
ningde_2060	寿宁县金源宾馆
quanzhou_2990	南安太阳河温泉酒店
montrose_6	Days Inn Montrose
ningbo_3153	宁波瑶琳宾馆
beijing_city_8515	北京兵团大厦
roses_25	Hotel Risech
xinzhou_2049	忻州龙河宾馆
roses_8	Hotel Ramblamar
riccione_ita_12	Park Hotel Kursaal
quzhou_2065	衢州交通宾馆
riccione_ita_10	Hotel Polo
riccione_ita_25	Hotel Graziella
menorca_79	Talayot Apartments Menorca
cheltenham_287	The Hare and Hounds
tampa_7	Staybridge Suites Tampa Sabal Park
tampa_11	Extended Stay Deluxe Airport Westshore
tampere_fi_4	Sokos Hotel Villa
tampere_fi_3	Cumulus Koskikatu
tampere_fi_8	Cumulus Hameenpuisto
tampere_fi_7	Scandic Tampere City
sanming_2089	三明东方宾馆
terrigal_15	Oaks Waterfront Resort The Entrance
montreal_1353	Villa Le Magnolie
tampere_fi_9	Cumulus Pinja
tampere_fi_10	Scandic Rosendahl
tampere_fi_11	Norlandia Care Tampere Hotel
birmingham_usa_38	Holiday Inn Express Tamworth
tamworth_uk_1	Drayton Manor Hotel
belfort_38	A la Ville de Lyon Logis de France
beppu_jp_15	Beppu Hotel Seifu
dundalk_il_1	邓多克皇冠假日酒店
koh_phuket_tha_2089	Baumancasa Beach Resort（鲍曼卡萨海滩度假村）
taormina_37	La Pensione Svizzera
yunfu_2051	云浮龙华宾馆
cefalu_ita_10	Calanica Residence Hotel
taormina_12	Hotel Villa Carlotta
taormina_25	Hotel Bel Soggiorno
taormina_33	Hotel Mediterranée
taormina_27	Hotel Villa Schuler
taormina_4	Residence Villa Il Glicine
taormina_17	Villa Angela
taormina_31	Villa Esperia
taormina_13	President Hotel Splendid
taormina_10	Andromaco Palace Hotel
richmond_vt_13	Hilton Garden Inn Richmond
taormina_23	Victoria Hotel
taormina_29	Albergo Vello d'Oro
taormina_19	La Plage Resort
taormina_30	Hotel Isola Bella
taormina_24	Monte Tauro Hotel
taormina_182	Hotel Villa Taormina
taormina_16	Hotel Bay Palace
taormina_20	Atahotel Capotaormina
taormina_14	Hotel el Jebel
lakeside_ca_953	Holiday Inn Express Hotel & Suites ELK GROVE EAST
taormina_39	Hotel Villa Riis
taormina_18	Hotel Imperiale
taormina_38	Hotel Continental
taormina_1	Hotel Elios
suzhou_jiangsu_3894	苏州宏基宾馆
taormina_32	Natalina
suzhou_jiangsu_3927	苏州鸿达旅馆
suzhou_jiangsu_4768	苏州东风宾馆
taormina_441	Meridiana Hotel Taormina
taormina_294	Isabella Hotel
tarragona_esp_13	Hotel Sant Jordi
tarragona_esp_18	Astari Hotel
tarragona_esp_22	Tarraco Park Tarragona
taunton_ma_13	Salisbury House Hotel
taunton_ma_16	Castle Hotel Gold Award
taunton_ma_18	Express By Holiday Inn Taunton
tarragona_esp_28	Apartamentos Astoria
washington_223	Residence Inn by Marriott National Harbor
tarragona_esp_17	Hotel Cosmos Tarragona
tarragona_esp_20	Apartaments Urbis
huanggang_2446	黄冈帝豪宾馆
tarragona_esp_11	PGP Apartaments Apodaca
robinson_il_3	Super 8 Olney
tarragona_esp_15	PGP Apartaments Estanislau Figueres
somerset_uk_16	Holiday Inn Taunton
taupo_27	Lakeland Resort Taupo
taupo_7	Quest Taupo
huanggang_2443	黄冈罗田蓝海大酒店
taupo_6	Accent On Taupo Motor Lodge
taupo_5	Bella Vista Motel Taupo
taupo_3	Spa Hotel Taupo
tavistock_12	Harvest Home
teignmouth_uk_2	Potters Mooring Hotel
telford_uk_23	Haughton Hall
telford_uk_30	Hundred House Hotel
telford_uk_5	Grays Hotel
telford_uk_33	The Old Orleton Inn
telford_uk_17	Holiday Inn Telford Ironbridge
telford_uk_6	Hartfield Guest House
tavistock_6	Rockmount
telford_uk_29	Church Farm Guest House
birmingham_usa_117	Park Inn by Radisson Telford
telford_uk_34	Buckatree Hall Hotel
telford_uk_32	Best Western Valley Hotel
london_england_2122	Radisson Edwardian Hampshire hotel（爱德华汉普什尔郡酒店）
telford_uk_21	Premier Inn Telford North
telford_uk_31	Premier Inn Telford Central
telford_uk_35	The Whitehouse Hotel Telford
telford_uk_19	Days Inn Hotel Telford Ironbridge
mianyang_2076	绵阳海航宾馆
tegucigalpa_8	Hotel Plaza Del Libertador
teignmouth_uk_3	Cliffden Hotel
tel_aviv_64	Dizengoff Beach Apartments
tel_aviv_34	Eilat Hotel
tel_aviv_24	Bell Hotel
tel_aviv_7	Sun City Hotel
tel_aviv_46	Galileo Hotel
tel_aviv_22	Grand Beach Hotel
tel_aviv_530	Cinema - an Atlas Boutique Hotel
tel_aviv_11	City Hotel
tel_aviv_6	Liber Tel Aviv Sea Shore Suites
cheltenham_283	Number Four at Stow Hotel and Restaurant
ubud_id_18	Permana Cottages
denpasar_bali_474	W Retreat and Spa Bali - Seminyak（巴厘岛W度假酒店）
tel_aviv_59	MARINA
songkhla_1	Pavilion Hotel Songkhla
cheltenham_299	The Prestbury House Hotel Cheltenham
tel_aviv_67	Alexander Suites Hotel
cheltenham_294	22 Lansdown Place
ubud_id_16	Sunarta Homestay
tel_aviv_18	Savoy Sea Side Hotel
tel_aviv_8	Isrotel Tower Hotel
tel_aviv_66	Imperial Hotel
tel_aviv_57	SeaNet Hotel
tel_aviv_47	Arlozorov Suites Hotel
tel_aviv_41	Yarden Beach Apartments
tel_aviv_19	Park Plaza Orchid Tel Aviv
tel_aviv_42	Ophir Hotel Tel Aviv
tel_aviv_10	Gordon Inn
tel_aviv_36	Dizengoff Sea Residence
tel_aviv_62	Best Western Regency Suites Hotel - All Suites Hotel
tel_aviv_60	De La Mer Hotel
